dataset,split,variant,metric,mean,std,seeds
hotpotqa,analysis_train_slice,controller_dense_only,em,80.10814986481266,0.05685438950900079,3
hotpotqa,analysis_train_slice,controller_dense_only,f1,80.33278691513638,0.06297963397185422,3
hotpotqa,analysis_train_slice,controller_dense_only,mrr,0.9218494096922062,3.473557671573884e-05,3
hotpotqa,analysis_train_slice,controller_dense_only,recall@10,100.0,0.0,3
hotpotqa,analysis_train_slice,controller_dense_only,recall@5,83.34942706321617,0.0355522113338067,3
hotpotqa,analysis_train_slice,controller_hkvm_only,all_recall@10,100.0,0.0,3
hotpotqa,analysis_train_slice,controller_hkvm_only,all_recall@5,74.59121926097592,0.08966388745450932,3
hotpotqa,analysis_train_slice,controller_hkvm_only,answer_support_rate,83.54577056778679,0.08343943219271262,3
hotpotqa,analysis_train_slice,controller_hkvm_only,em,83.54577056778679,0.08343943219271262,3
hotpotqa,analysis_train_slice,controller_hkvm_only,f1,83.74763443723182,0.08502083201235953,3
hotpotqa,analysis_train_slice,controller_hkvm_only,mrr,0.8695670377931869,0.0007038682018296804,3
hotpotqa,analysis_train_slice,controller_hkvm_only,recall@10,100.0,0.0,3
hotpotqa,analysis_train_slice,controller_hkvm_only,recall@5,86.2302047122441,0.04171971609635521,3
hotpotqa,analysis_train_slice,phase1c_mlp_topk_4,all_recall@10,96.36925453843183,0.015768570508450156,3
hotpotqa,analysis_train_slice,phase1c_mlp_topk_4,all_recall@5,74.59121926097592,0.08966388745450932,3
hotpotqa,analysis_train_slice,phase1c_mlp_topk_4,answer_support_rate,83.54577056778679,0.08343943219271262,3
hotpotqa,analysis_train_slice,phase1c_mlp_topk_4,em,83.54577056778679,0.08343943219271262,3
hotpotqa,analysis_train_slice,phase1c_mlp_topk_4,f1,83.74763443723182,0.08502083201235953,3
hotpotqa,analysis_train_slice,phase1c_mlp_topk_4,mrr,0.8694564253322461,0.0006767371496524293,3
hotpotqa,analysis_train_slice,phase1c_mlp_topk_4,recall@10,98.14278357152054,0.004551994213896321,3
hotpotqa,analysis_train_slice,phase1c_mlp_topk_4,recall@5,86.2302047122441,0.04171971609635521,3
hotpotqa,analysis_train_slice,quota_dense3_hkvm2,all_recall@10,100.0,0.0,3
hotpotqa,analysis_train_slice,quota_dense3_hkvm2,all_recall@5,71.45616067979915,0.05685438950899596,3
hotpotqa,analysis_train_slice,quota_dense3_hkvm2,answer_support_rate,81.26689841637697,0.015768570508450156,3
hotpotqa,analysis_train_slice,quota_dense3_hkvm2,em,81.26689841637697,0.015768570508450156,3
hotpotqa,analysis_train_slice,quota_dense3_hkvm2,f1,81.4731489660488,0.015897823248564997,3
hotpotqa,analysis_train_slice,quota_dense3_hkvm2,mrr,0.9223045557006546,4.0150390812906505e-05,3
hotpotqa,analysis_train_slice,quota_dense3_hkvm2,recall@10,100.0,0.0,3
hotpotqa,analysis_train_slice,quota_dense3_hkvm2,recall@5,85.36436204454745,0.027688699842416783,3
hotpotqa,analysis_train_slice,rrf_dense_hkvm,all_recall@10,100.0,0.0,3
hotpotqa,analysis_train_slice,rrf_dense_hkvm,all_recall@5,76.14909231363461,0.13472672548252818,3
hotpotqa,analysis_train_slice,rrf_dense_hkvm,answer_support_rate,83.59083301145874,0.08684651450516293,3
hotpotqa,analysis_train_slice,rrf_dense_hkvm,em,83.59083301145874,0.08684651450516293,3
hotpotqa,analysis_train_slice,rrf_dense_hkvm,f1,83.7703386546058,0.08672189526649425,3
hotpotqa,analysis_train_slice,rrf_dense_hkvm,mrr,0.9173688386560152,0.00021050311285906667,3
hotpotqa,analysis_train_slice,rrf_dense_hkvm,recall@10,100.0,0.0,3
hotpotqa,analysis_train_slice,rrf_dense_hkvm,recall@5,87.60139049826188,0.06736336274126409,3
hotpotqa,heldout,colbertv2,all_recall@10,100.0,0.0,3
hotpotqa,heldout,colbertv2,all_recall@5,67.93893129770993,0.0,3
hotpotqa,heldout,colbertv2,answer_support_rate,78.40143691064212,0.0,3
hotpotqa,heldout,colbertv2,em,78.40143691064212,0.0,3
hotpotqa,heldout,colbertv2,f1,78.60633618445499,0.0,3
hotpotqa,heldout,colbertv2,mrr,0.928560202707037,0.0,3
hotpotqa,heldout,colbertv2,recall@10,100.0,0.0,3
hotpotqa,heldout,colbertv2,recall@5,83.4530758868433,0.0,3
hotpotqa,heldout,controller_dense_hkvm,all_recall@10,100.0,0.0,3
hotpotqa,heldout,controller_dense_hkvm,all_recall@5,79.06002095494686,0.5342484148353428,3
hotpotqa,heldout,controller_dense_hkvm,answer_support_rate,84.13411165993115,0.20192692056925535,3
hotpotqa,heldout,controller_dense_hkvm,em,84.13411165993115,0.20192692056925535,3
hotpotqa,heldout,controller_dense_hkvm,f1,84.37713089889587,0.18783644024759705,3
hotpotqa,heldout,controller_dense_hkvm,mrr,0.9316839628132848,0.008007370351054009,3
hotpotqa,heldout,controller_dense_hkvm,recall@10,100.0,0.0,3
hotpotqa,heldout,controller_dense_hkvm,recall@5,89.23813800329292,0.24617398897468037,3
hotpotqa,heldout,controller_dense_only,all_recall@10,100.0,0.0,3
hotpotqa,heldout,controller_dense_only,all_recall@5,66.72653794342165,0.06350307868760798,3
hotpotqa,heldout,controller_dense_only,answer_support_rate,78.65588983685078,0.26011296507982384,3
hotpotqa,heldout,controller_dense_only,em,78.65588983685078,0.26011296507982384,3
hotpotqa,heldout,controller_dense_only,f1,78.92493677524978,0.2656921370760225,3
hotpotqa,heldout,controller_dense_only,mrr,0.9283789257857511,5.280577893456339e-05,3
hotpotqa,heldout,controller_dense_only,recall@10,100.0,0.0,3
hotpotqa,heldout,controller_dense_only,recall@5,82.68223319862295,0.056004451231464795,3
hotpotqa,heldout,controller_hkvm_only,all_recall@10,100.0,0.0,3
hotpotqa,heldout,controller_hkvm_only,all_recall@5,72.95315072593922,0.25751609839971706,3
hotpotqa,heldout,controller_hkvm_only,answer_support_rate,80.75138452327496,0.22401780492584653,3
hotpotqa,heldout,controller_hkvm_only,em,80.75138452327496,0.22401780492584653,3
hotpotqa,heldout,controller_hkvm_only,f1,81.02589827846703,0.22370640225382085,3
hotpotqa,heldout,controller_hkvm_only,mrr,0.870361757934726,0.0027422756585659108,3
hotpotqa,heldout,controller_hkvm_only,recall@10,100.0,0.0,3
hotpotqa,heldout,controller_hkvm_only,recall@5,85.54857057326748,0.13005648253991192,3
hotpotqa,heldout,phase1c_mlp_topk_4,all_recall@10,96.60230504415507,0.07632120211933321,3
hotpotqa,heldout,phase1c_mlp_topk_4,all_recall@5,72.95315072593922,0.25751609839971706,3
hotpotqa,heldout,phase1c_mlp_topk_4,answer_support_rate,80.75138452327496,0.22401780492584653,3
hotpotqa,heldout,phase1c_mlp_topk_4,em,80.75138452327496,0.22401780492584653,3
hotpotqa,heldout,phase1c_mlp_topk_4,f1,81.02589827846703,0.22370640225382085,3
