dataset,seed,split,reference_variant,candidate_variant,metric,n_examples,reference_mean,candidate_mean,mean_diff,wins,losses,ties,win_rate,loss_rate
musique,43,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,all_recall@5,1671,35.24835427887493,43.806104129263915,8.557749850388989,198,55,1418,0.118491921005386,0.03291442250149611
musique,13,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,answer_support_rate,1671,56.07420706163974,65.58946738479952,9.515260323159785,240,81,1350,0.1436265709156194,0.04847396768402154
musique,29,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,answer_support_rate,1671,56.91202872531418,64.81149012567325,7.899461400359066,243,111,1317,0.14542190305206462,0.06642728904847396
musique,43,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,answer_support_rate,1671,57.03171753441053,64.99102333931778,7.959305804907241,208,75,1388,0.12447636146020347,0.04488330341113106
musique,13,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,recall@5,1671,65.74406542988231,72.26710552563335,6.523040095751047,406,157,1108,0.24296828246558946,0.09395571514063435
musique,29,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,recall@5,1671,65.77398763215639,71.803311390385,6.029323758228606,406,184,1081,0.24296828246558946,0.11011370436864153
musique,43,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,recall@5,1671,65.97845601436266,72.60123678436067,6.6227807699980055,372,115,1184,0.22262118491921004,0.06882106523040096
musique,13,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,recall@10,1671,77.42369838420107,84.42050668262517,6.996808298424098,381,118,1172,0.22800718132854578,0.0706163973668462
musique,29,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,recall@10,1671,77.66307600239378,84.93915818870936,7.27608218631558,408,138,1125,0.24416517055655296,0.08258527827648116
musique,43,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,recall@10,1671,77.55336126072213,84.35068821065231,6.797326949930182,360,103,1208,0.21543985637342908,0.061639736684619986
musique,13,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,mrr,1671,0.8031069220027928,0.8541784218175601,0.05107149981476732,335,173,1163,0.2004787552363854,0.10353081986834231
musique,29,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,mrr,1671,0.8037725722644933,0.8364314686576805,0.03265889639318724,347,272,1052,0.20766008378216635,0.1627767803710353
musique,43,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,mrr,1671,0.8050112564475221,0.8293902520114369,0.024378995563914773,214,79,1378,0.12806702573309395,0.04727707959305805
musique,13,analysis_train_slice,controller_dense_only,controller_dense_hkvm,f1,1671,58.73481982046773,65.95649473732249,7.221674916854756,211,91,1369,0.12627169359664872,0.054458408138839016
musique,29,analysis_train_slice,controller_dense_only,controller_dense_hkvm,f1,1671,59.058918721765906,65.08161790194295,6.022699180177044,193,96,1382,0.11549970077797726,0.05745062836624776
musique,43,analysis_train_slice,controller_dense_only,controller_dense_hkvm,f1,1671,58.97947281593918,65.32960638100124,6.350133565062057,232,128,1311,0.13883901855176542,0.07660083782166367
