dataset,seed,split,variant,metric,value,n_examples
musique,29,analysis_train_slice,rrf_dense_hkvm,recall@5,63.62457610213445,1671
musique,29,analysis_train_slice,rrf_dense_hkvm,recall@10,84.07141432276082,1671
musique,29,analysis_train_slice,rrf_dense_hkvm,mrr,0.8323440008359219,1671
musique,29,analysis_train_slice,controller_dense_hkvm,f1,65.08161790194295,1671
musique,29,analysis_train_slice,controller_dense_hkvm,em,64.81149012567325,1671
musique,29,analysis_train_slice,controller_dense_hkvm,all_recall@10,64.4524236983842,1671
musique,29,analysis_train_slice,controller_dense_hkvm,all_recall@5,42.549371633752244,1671
musique,29,analysis_train_slice,controller_dense_hkvm,answer_support_rate,64.81149012567325,1671
musique,29,analysis_train_slice,controller_dense_hkvm,recall@5,71.803311390385,1671
musique,29,analysis_train_slice,controller_dense_hkvm,recall@10,84.93915818870936,1671
musique,29,analysis_train_slice,controller_dense_hkvm,mrr,0.8364314686576805,1671
musique,29,heldout,colbertv2,f1,56.9629848852369,746
musique,29,heldout,colbertv2,em,56.30026809651474,746
musique,29,heldout,colbertv2,all_recall@10,49.32975871313673,746
musique,29,heldout,colbertv2,all_recall@5,29.08847184986595,746
musique,29,heldout,colbertv2,answer_support_rate,56.30026809651474,746
musique,29,heldout,colbertv2,recall@5,60.656836461126005,746
musique,29,heldout,colbertv2,recall@10,75.96067917783735,746
musique,29,heldout,colbertv2,mrr,0.8087423932933316,746
musique,29,heldout,phase1c_mlp_topk_4,f1,55.32040728638268,746
musique,29,heldout,phase1c_mlp_topk_4,em,54.69168900804289,746
musique,29,heldout,phase1c_mlp_topk_4,all_recall@10,54.9597855227882,746
musique,29,heldout,phase1c_mlp_topk_4,all_recall@5,36.193029490616624,746
musique,29,heldout,phase1c_mlp_topk_4,answer_support_rate,54.69168900804289,746
musique,29,heldout,phase1c_mlp_topk_4,recall@5,65.58310991957104,746
musique,29,heldout,phase1c_mlp_topk_4,recall@10,78.3958891867739,746
musique,29,heldout,phase1c_mlp_topk_4,mrr,0.800120217881612,746
musique,29,heldout,controller_dense_only,f1,56.83394252981069,746
musique,29,heldout,controller_dense_only,em,56.30026809651474,746
musique,29,heldout,controller_dense_only,all_recall@10,52.68096514745308,746
musique,29,heldout,controller_dense_only,all_recall@5,28.820375335120644,746
musique,29,heldout,controller_dense_only,answer_support_rate,56.30026809651474,746
musique,29,heldout,controller_dense_only,recall@5,60.32171581769437,746
musique,29,heldout,controller_dense_only,recall@10,78.76452189454871,746
musique,29,heldout,controller_dense_only,mrr,0.8085631303459722,746
musique,29,heldout,controller_hkvm_only,f1,55.2246585311165,746
musique,29,heldout,controller_hkvm_only,em,54.55764075067024,746
musique,29,heldout,controller_hkvm_only,all_recall@10,59.24932975871314,746
musique,29,heldout,controller_hkvm_only,all_recall@5,36.193029490616624,746
musique,29,heldout,controller_hkvm_only,answer_support_rate,54.55764075067024,746
musique,29,heldout,controller_hkvm_only,recall@5,65.57193923145665,746
musique,29,heldout,controller_hkvm_only,recall@10,81.4343163538874,746
musique,29,heldout,controller_hkvm_only,mrr,0.8013612281373675,746
musique,29,heldout,quota_dense3_hkvm2,f1,58.17223847049584,746
musique,29,heldout,quota_dense3_hkvm2,em,57.506702412868634,746
musique,29,heldout,quota_dense3_hkvm2,all_recall@10,52.68096514745308,746
musique,29,heldout,quota_dense3_hkvm2,all_recall@5,32.84182305630027,746
musique,29,heldout,quota_dense3_hkvm2,answer_support_rate,57.506702412868634,746
musique,29,heldout,quota_dense3_hkvm2,recall@5,65.09159964253799,746
musique,29,heldout,quota_dense3_hkvm2,recall@10,78.13896336014298,746
musique,29,heldout,quota_dense3_hkvm2,mrr,0.8123191412400528,746
musique,29,heldout,rrf_dense_hkvm,f1,56.7284934309063,746
musique,29,heldout,rrf_dense_hkvm,em,56.166219839142094,746
musique,29,heldout,rrf_dense_hkvm,all_recall@10,63.53887399463807,746
musique,29,heldout,rrf_dense_hkvm,all_recall@5,34.048257372654156,746
musique,29,heldout,rrf_dense_hkvm,answer_support_rate,56.166219839142094,746
musique,29,heldout,rrf_dense_hkvm,recall@5,63.617068811438784,746
musique,29,heldout,rrf_dense_hkvm,recall@10,84.03708668453977,746
musique,29,heldout,rrf_dense_hkvm,mrr,0.8217120941316651,746
musique,29,heldout,controller_dense_hkvm,f1,63.93291025328559,746
musique,29,heldout,controller_dense_hkvm,em,63.53887399463807,746
musique,29,heldout,controller_dense_hkvm,all_recall@10,64.74530831099196,746
musique,29,heldout,controller_dense_hkvm,all_recall@5,44.369973190348524,746
musique,29,heldout,controller_dense_hkvm,answer_support_rate,63.53887399463807,746
musique,29,heldout,controller_dense_hkvm,recall@5,71.38069705093834,746
musique,29,heldout,controller_dense_hkvm,recall@10,84.21581769436997,746
musique,29,heldout,controller_dense_hkvm,mrr,0.8244388059066343,746
musique,43,all,colbertv2,f1,58.309321991876935,2417
musique,43,all,colbertv2,em,57.75755068266446,2417
musique,43,all,colbertv2,all_recall@10,49.31733553992553,2417
musique,43,all,colbertv2,all_recall@5,27.678940835746793,2417
musique,43,all,colbertv2,answer_support_rate,57.75755068266446,2417
musique,43,all,colbertv2,recall@5,60.36408771203972,2417
musique,43,all,colbertv2,recall@10,76.54461453592609,2417
musique,43,all,colbertv2,mrr,0.8127161442428302,2417
musique,43,all,phase1c_mlp_topk_4,f1,57.04821381047314,2417
musique,43,all,phase1c_mlp_topk_4,em,56.516342573438145,2417
musique,43,all,phase1c_mlp_topk_4,all_recall@10,53.37194869673149,2417
musique,43,all,phase1c_mlp_topk_4,all_recall@5,35.581299131154324,2417
musique,43,all,phase1c_mlp_topk_4,answer_support_rate,56.516342573438145,2417
musique,43,all,phase1c_mlp_topk_4,recall@5,65.91159840022065,2417
musique,43,all,phase1c_mlp_topk_4,recall@10,77.72376223969108,2417
musique,43,all,phase1c_mlp_topk_4,mrr,0.8050641619218367,2417
musique,43,all,controller_dense_only,f1,58.350486637923666,2417
musique,43,all,controller_dense_only,em,57.840297889946214,2417
musique,43,all,controller_dense_only,all_recall@10,52.42035581299131,2417
musique,43,all,controller_dense_only,all_recall@5,27.8444352503103,2417
musique,43,all,controller_dense_only,answer_support_rate,57.840297889946214,2417
musique,43,all,controller_dense_only,recall@5,60.41235691628741,2417
