dataset,seed,reference_variant,candidate_variant,metric,n_examples,reference_mean,candidate_mean,mean_diff,wins,losses,ties,win_rate,loss_rate,source_path_before_reorg
hotpotqa,43,colbertv2,controller_dense_hkvm,all_recall@5,7405,68.19716407832546,80.22957461174882,12.032410533423363,1361,470,5574,0.1837947332883187,0.06347062795408508,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,colbertv2,controller_dense_hkvm,answer_support_rate,7405,79.63538149898717,85.77987846049966,6.144496961512491,728,273,6404,0.09831195138419986,0.03686698176907495,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,colbertv2,controller_dense_hkvm,recall@5,7405,83.60567184334909,89.85820391627279,6.2525320729237,1395,490,5520,0.18838622552329506,0.0661715057393653,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,colbertv2,controller_dense_hkvm,recall@10,7405,100.0,100.0,0.0,0,0,7405,0.0,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,colbertv2,controller_dense_hkvm,mrr,7405,0.9238724371134904,0.9329154475204442,0.009043010406953688,484,323,6598,0.06536124240378123,0.043619176232275486,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,calibrated_hkvm_topk4,controller_dense_hkvm,f1,7405,82.90764838600164,85.82036945315251,2.912721067150862,368,145,6892,0.049696151249155975,0.019581363943281565,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,calibrated_hkvm_topk4,controller_dense_hkvm,em,7405,82.68737339635382,85.63133018230926,2.9439567859554354,355,137,6913,0.04794058068872384,0.01850101282916948,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,7405,96.4078325455773,100.0,3.5921674544226874,266,0,7139,0.03592167454422687,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@5,7405,74.07157326130992,79.63538149898717,5.563808237677245,656,244,6505,0.08858879135719108,0.03295070898041864,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,calibrated_hkvm_topk4,controller_dense_hkvm,answer_support_rate,7405,82.68737339635382,85.63133018230926,2.9439567859554354,355,137,6913,0.04794058068872384,0.01850101282916948,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,calibrated_hkvm_topk4,controller_dense_hkvm,recall@5,7405,85.99594868332208,89.59486833220797,3.598919648885888,765,255,6385,0.10330857528696827,0.03443619176232275,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,calibrated_hkvm_topk4,controller_dense_hkvm,recall@10,7405,98.16340310600945,100.0,1.8365968939905468,266,0,7139,0.03592167454422687,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,calibrated_hkvm_topk4,controller_dense_hkvm,mrr,7405,0.8698982883722924,0.9313467948511838,0.06144850647889136,1248,553,5604,0.1685347738014855,0.07467927076299798,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,calibrated_hkvm_topk4,controller_dense_hkvm,f1,7405,82.82840315078072,85.65647265522465,2.8280695044439312,323,106,6976,0.043619176232275486,0.014314652261985146,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,calibrated_hkvm_topk4,controller_dense_hkvm,em,7405,82.60634706279541,85.46927751519243,2.862930452397029,315,103,6987,0.042538825118163405,0.013909520594193113,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,7405,96.43484132343012,100.0,3.5651586765698853,264,0,7141,0.03565158676569885,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@5,7405,74.00405131667792,79.47332883187036,5.469277515192437,584,179,6642,0.0788656313301823,0.024172856178257932,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,calibrated_hkvm_topk4,controller_dense_hkvm,answer_support_rate,7405,82.60634706279541,85.46927751519243,2.862930452397029,315,103,6987,0.042538825118163405,0.013909520594193113,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,calibrated_hkvm_topk4,controller_dense_hkvm,recall@5,7405,85.97569209993247,89.46657663740716,3.4908845374746793,697,191,6517,0.09412559081701553,0.025793382849426064,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,calibrated_hkvm_topk4,controller_dense_hkvm,recall@10,7405,98.17690749493586,100.0,1.8230925050641458,264,0,7141,0.03565158676569885,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,calibrated_hkvm_topk4,controller_dense_hkvm,mrr,7405,0.8680163553154775,0.9196178043578449,0.05160144904236734,1156,317,5932,0.15611073598919648,0.04280891289669143,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,calibrated_hkvm_topk4,controller_dense_hkvm,f1,7405,83.0512245937237,85.9530252286172,2.9018006348934953,399,177,6829,0.05388251181634031,0.023902768399729914,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,calibrated_hkvm_topk4,controller_dense_hkvm,em,7405,82.82241728561783,85.77987846049966,2.9574611748818365,387,168,6850,0.052261985145172184,0.022687373396353815,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,7405,96.47535449020931,100.0,3.524645509790682,261,0,7144,0.03524645509790682,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@5,7405,74.22012153950034,80.22957461174882,6.009453072248481,722,277,6406,0.0975016880486158,0.037407157326130994,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,calibrated_hkvm_topk4,controller_dense_hkvm,answer_support_rate,7405,82.82241728561783,85.77987846049966,2.9574611748818365,387,168,6850,0.052261985145172184,0.022687373396353815,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,calibrated_hkvm_topk4,controller_dense_hkvm,recall@5,7405,86.10398379473328,89.85820391627279,3.7542201215395004,825,292,6288,0.11141120864280891,0.03943281566509115,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,calibrated_hkvm_topk4,controller_dense_hkvm,recall@10,7405,98.19041188386225,100.0,1.8095881161377447,261,0,7144,0.03524645509790682,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,calibrated_hkvm_topk4,controller_dense_hkvm,mrr,7405,0.8711444433726675,0.9329154475204442,0.0617710041477766,1233,474,5698,0.1665091154625253,0.06401080351114112,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
