dataset,source,source_label,variant,row_type,metric,metric_label,mean,std,seeds,delta_vs_bm25,source_only_mean,source_only_delta_vs_bm25,delta_vs_whg_kv_controller,source_path_before_reorg,delta_vs_dense,delta_vs_colbertv2,source_only_delta_vs_dense,source_only_delta_vs_colbertv2
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,78.09801350168857,0.0,3,6.224888884471568,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,BM25 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,78.0348812553011,0.09853493583248815,3,6.72444868532655,77.52862595419847,6.218193384223923,-10.077396098388462,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,77.52862595419847,0.0,3,6.218193384223923,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,BM25 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,99.99204834605598,0.0,3,0.7395038167938992,99.6501272264631,0.3975826972010168,0.09807039864291767,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.6501272264631,0.0,3,0.3975826972010168,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,BM25 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,70.78562340966921,0.30611285869783683,3,14.145992366412216,70.18924936386769,13.54961832061069,-21.715966921119588,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,70.18924936386769,0.0,3,13.54961832061069,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_kg_ppr,BM25 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,f1,F1,77.30463731206275,0.2176752322972092,3,5.43151269484575,75.89402027596628,4.020895658749282,-11.020476667752988,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,75.89402027596628,0.0,3,4.020895658749282,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_kg_ppr,BM25 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,em,EM,76.84213316369805,0.2208722079728574,3,5.5317005937234995,75.37372773536896,4.063295165394408,-11.270144189991512,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,em,EM,75.37372773536896,0.0,3,4.063295165394408,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_kg_ppr,BM25 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,99.82506361323155,0.0,3,0.5725190839694676,98.10750636132316,-1.145038167938921,-0.06891433418151394,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,98.10750636132316,0.0,3,-1.145038167938921,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_kg_ppr,BM25 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,68.94879134860051,0.3977416984860022,3,12.30916030534351,66.14980916030534,9.51017811704834,-23.552798982188293,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,66.14980916030534,0.0,3,9.51017811704834,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_hg_kv,BM25 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,f1,F1,88.32511397981574,0.21292154671586366,3,16.451989362598738,88.39122632467331,16.51810170745631,0.0,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,88.39122632467331,0.09932670237050562,3,16.51810170745631,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_hg_kv,BM25 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,em,EM,88.11227735368956,0.22122181525514406,3,16.801844783715012,88.18119168787108,16.870759117896526,0.0,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,em,EM,88.18119168787108,0.10495647727535314,3,16.870759117896526,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_hg_kv,BM25 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,99.89397794741306,0.027030425750593952,3,0.6414334181509815,99.02989821882952,-0.222646310432566,0.0,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.02989821882952,0.07022710612538151,3,-0.222646310432566,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_hg_kv,BM25 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,92.5015903307888,0.2908610235078175,3,35.8619592875318,92.5307463952502,35.89111535199321,0.0,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,92.5307463952502,0.1371644299505449,3,35.89111535199321,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
hotpotqa,bm25_only,BM25 only,bm25,dense_baseline,f1,F1,81.83482341404255,0.0,3,,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_bm25_source_level_ablation_table.csv,0.0,0.0,,
hotpotqa,bm25_only,BM25 only,bm25,dense_baseline,em,EM,81.64753544902094,0.0,3,,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_bm25_source_level_ablation_table.csv,0.0,0.0,,
hotpotqa,bm25_only,BM25 only,bm25,dense_baseline,all_recall@10,AR@10,99.85145172180958,0.0,3,,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_bm25_source_level_ablation_table.csv,0.0,0.0,,
hotpotqa,bm25_only,BM25 only,bm25,dense_baseline,all_recall@5,AR@5,67.73801485482782,0.0,3,,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_bm25_source_level_ablation_table.csv,0.0,0.0,,
