dataset,source,source_label,variant,row_type,metric,metric_label,mean,std,seeds,delta_vs_colbertv2,source_only_mean,source_only_delta_vs_colbertv2,delta_vs_whg_kv_controller,source_path_before_reorg,delta_vs_dense,source_only_delta_vs_dense
2wiki,weighted_hg_kv,ColBERTv2 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,99.02989821882952,-0.9701017811704844,0.0,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.02989821882952,0.07022710612538151,3,-0.9701017811704844,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,weighted_hg_kv,ColBERTv2 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,93.29940627650552,0.1582803077484491,3,29.185220525869383,92.5307463952502,28.416560644614066,0.0,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,92.5307463952502,0.1371644299505449,3,28.416560644614066,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
hotpotqa,colbertv2_only,ColBERTv2 only,colbertv2,dense_baseline,f1,F1,79.84400128960641,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,0.0,
hotpotqa,colbertv2_only,ColBERTv2 only,colbertv2,dense_baseline,em,EM,79.63538149898717,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,0.0,
hotpotqa,colbertv2_only,ColBERTv2 only,colbertv2,dense_baseline,all_recall@10,AR@10,100.0,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,0.0,
hotpotqa,colbertv2_only,ColBERTv2 only,colbertv2,dense_baseline,all_recall@5,AR@5,68.19716407832546,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,0.0,
hotpotqa,hyper_rag,ColBERTv2 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,79.41816481509456,0.5310229037461563,3,-0.42583647451185414,71.07412325706801,-8.7698780325384,-6.39179096390356,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,-0.42583647451185414,-8.7698780325384
hotpotqa,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,71.07412325706801,0.0,3,-8.7698780325384,,,,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,-8.7698780325384,
hotpotqa,hyper_rag,ColBERTv2 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,79.20324105334234,0.5382590354197636,3,-0.43214044564483345,70.72248480756245,-8.91289669142472,-6.423587665991448,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,-0.43214044564483345,-8.91289669142472
hotpotqa,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,70.72248480756245,0.0,3,-8.91289669142472,,,,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,-8.91289669142472,
hotpotqa,hyper_rag,ColBERTv2 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,98.20391627278866,-1.7960837272113395,0.0,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,0.0,-1.7960837272113395
hotpotqa,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,98.20391627278866,0.0,3,-1.7960837272113395,,,,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,-1.7960837272113395,
hotpotqa,hyper_rag,ColBERTv2 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,70.26333558406482,0.46007506184654173,3,2.066171505739362,57.704253882511814,-10.492910195813643,-9.516092730137302,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,2.066171505739362,-10.492910195813643
hotpotqa,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,57.704253882511814,0.0,3,-10.492910195813643,,,,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,-10.492910195813643,
hotpotqa,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,80.16145817188436,0.31909551759671223,3,0.317456882277952,73.33969964182063,-6.5043016477857805,-5.648497607113754,results/source_level_diagnostics/phase1d_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_colbert_source_level_ablation_table.csv,0.317456882277952,-6.5043016477857805
